Project Bamboo,Neil Fraistat
Project Bamboo,Seth Denbo
Project Bamboo,James Smith
Project Bamboo,Emma Millon
Project Bamboo,Dave Lester
Project Bamboo,Travis Brown
Project Bamboo,Elisabeth Kvernen
Project Bamboo,Kirsten Keister
Project Bamboo,Kristen Waters
Shakespeare Quartos Archive,Neil Fraistat
Shakespeare Quartos Archive,Doug Reside
Shakespeare Quartos Archive,Beth Bonsignore
Shakespeare Quartos Archive,Grant Dickie
Shakespeare Quartos Archive,Elisabeth Kvernen
Shakespeare Quartos Archive,Richard Kuhta
Shakespeare Quartos Archive,Jim Kuhn
Shakespeare Quartos Archive,Richard Ovendon
Shakespeare Quartos Archive,Michael Popham
Open Annotation Collaboration,Neil Fraistat
Open Annotation Collaboration,James Smith
Open Annotation Collaboration,Doug Reside
Open Annotation Collaboration,Kirsten Keister
Open Annotation Collaboration,Tim Cole
Open Annotation Collaboration,Herbert Van de Sompel 
Open Annotation Collaboration,John Burns 
Open Annotation Collaboration,Ron Chernich
Open Annotation Collaboration,Daniel Cohen 
Open Annotation Collaboration,Anna Gerber 
Open Annotation Collaboration,Tom Habing
Open Annotation Collaboration,Clare Llewellyn 
Open Annotation Collaboration,Carole Palmer 
Open Annotation Collaboration,Allen Renear 
Open Annotation Collaboration,Robert Sanderson 
Open Annotation Collaboration,Sean Takats 
Open Annotation Collaboration,Jane Hunter 
Shelley-Godwin Archive,Neil Fraistat
Shelley-Godwin Archive,Trevor Muñoz
Shelley-Godwin Archive,Jennifer Guiliano
Shelley-Godwin Archive,David Brookshire
Shelley-Godwin Archive,Travis Brown
Shelley-Godwin Archive,Amanda Visconti
Shelley-Godwin Archive,Jessica Worley
Shelley-Godwin Archive,Raffaele Viglianti
Shelley-Godwin Archive,Kirsten Keister
Shelley-Godwin Archive,Elizabeth Denlinger
Shelley-Godwin Archive,Stephanie Sapienza
Shelley-Godwin Archive,Richard Ovenden
Shelley-Godwin Archive,Michael Popham
Shelley-Godwin Archive,Doug Reside
Shelley-Godwin Archive,Leslie Morris
Shelley-Godwin Archive,Wendell Piez
Shelley-Godwin Archive,Jamie Andrews
Shelley-Godwin Archive,Rachel Foss
Archimedes Palimpsest,Grant Dickie
Archimedes Palimpsest,Doug Reside
centerNet,Neil Fraistat
Visual Accent and Dialect Archive (VADA),Leigh Smiley
Visual Accent and Dialect Archive (VADA),Kirsten Keister
Visual Accent and Dialect Archive (VADA),Amanda Visconti
Visual Accent and Dialect Archive (VADA),Dave Lester
Visual Accent and Dialect Archive (VADA),James Smith
Visual Accent and Dialect Archive (VADA),Elisabeth Kvernen
Theatre Finder,Frank Hildy
Theatre Finder,Travis Brown
Theatre Finder,Elisabeth Kvernen
The Documentation and Preservation of Dance,Doug Reside
The Documentation and Preservation of Dance,Elisabeth Kvernen
Text-Image Linking Environment,Dave Lester
Text-Image Linking Environment,Elisabeth Kvernen
Text-Image Linking Environment,Dot Porter
Text-Image Linking Environment,John Walsh
Text-Image Linking Environment,Grant Dickie
Text-Image Linking Environment,Doug Reside
Steinschneider Bibliographic Database,Charles Manekin
Deena Larsen Collection,Matthew Kirschenbaum
Deena Larsen Collection,Amanda Visconti
Romantic Circles,Neil Fraistat
Preserving Virtual Worlds II,Matthew Kirschenbaum
Preserving Virtual Worlds II,Rachel Donahue
Preserving Virtual Worlds II,Kari Kraus
Preserving Virtual Worlds II,Henry Lowood
Preserving Virtual Worlds II,Susan Rojo
Preserving Virtual Worlds II,Eric Kaltman
Preserving Virtual Worlds II,Andrew Phelps
Preserving Virtual Worlds II,Jerry McDonough
Preserving Virtual Worlds II,Rhiannon Bettivia
Preserving Virtual Worlds II,Megan Senseney
Preserving Virtual Worlds II,Chris Egert
Preserving Virtual Worlds I,Matthew Kirschenbaum
Preserving Virtual Worlds I,Neil Fraistat
Preserving Virtual Worlds I,Rachel Donahue
Preserving Virtual Worlds I,Susan Rojo
Preserving Virtual Worlds I,Michael Shanks
Preserving Virtual Worlds I,Andrew Phelps
Preserving Virtual Worlds I,Kari Krauss
Preserving Virtual Worlds I,Jerry McDonough
Preserving Virtual Worlds I,Patricia Hswe
Preserving Virtual Worlds I,Henry Lowood
Our Americas Archive Partnership,Neil Fraistat
Our Americas Archive Partnership,Doug Reside
Our Americas Archive Partnership,Dave Lester
Our Americas Archive Partnership,Elisabeth Kvernen
Our Americas Archive Partnership,Carl Stahmer
Our Americas Archive Partnership,Ketan Patil
Our Americas Archive Partnership,Gregory Lord
Our Americas Archive Partnership,Arik Lubkin
Our Americas Archive Partnership,Ralph Bauer
Our Americas Archive Partnership,Geneva Henry
Our Americas Archive Partnership,Caroline Levander
Our Americas Archive Partnership,Luis Jáuregui Frías
Music Theatre Online,Elisabeth Kvernen
Music Theatre Online,Doug Reside
Music Theatre Online,Jennifer Guiliano
MITH's Vintage Computers,Matthew Kirschenbaum
MITH's Vintage Computers,Walker Sampson
MITH's Vintage Computers,Dave Lester
MITH's Vintage Computers,Elisabeth Kvernen
MITH's Vintage Computers,Charles Pinnix
Foreign Literatures in America,Peter Mallios
Foreign Literatures in America,Trevor Muñoz
Foreign Literatures in America,Amanda Visconti
Foreign Literatures in America,Travis Brown
Foreign Literatures in America,Jennifer Guiliano
Foreign Literatures in America,Ed Summers
Early Americas Digital Archive,Ralph Bauer
Early Americas Digital Archive,Susan Schreibman
Early Americas Digital Archive,Amit Kumar
Early Americas Digital Archive,Ann M. Hanlon
Early Americas Digital Archive,Eric White
Early Americas Digital Archive,Tanya Clement
Early Americas Digital Archive,Jarom McDonald
Digital Mishnah,Hayim Lapin
Digital Mishnah,Trevor Muñoz
Digital Mishnah,Travis Brown
Digital Mishnah,Kirsten Keister
Dickinson Electronic Archives,Martha Nell Smith
Collaborative Ajax-Based Modeling Platform,Travis Brown
Collaborative Ajax-Based Modeling Platform,Doug Reside
Collaborative Ajax-Based Modeling Platform,Kirsten Keister
Collaborative Ajax-Based Modeling Platform,Elisabeth Kvernen
Collaborative Ajax-Based Modeling Platform,Gregory Lord
Collaborative Ajax-Based Modeling Platform,Frank Hildy
BitCurator,Amanda Visconti
BitCurator,Matthew Kirschenbaum
BitCurator,Porter Olsen
Bill Bly Collection,Amanda Visconti
Bill Bly Collection,Matthew Kirschenbaum
Bill Bly Collection,Porter Olsen
Ajax XML Encoder (AXE),Grant Dickie
Ajax XML Encoder (AXE),Doug Reside
Beckett Directs Beckett,Mitch Lifton
Born-Digital Literary Materials,Matthew Kirschenbaum
Born-Digital Literary Materials,Doug Reside
Business Russian Case Studies,Maria Lekic
DISC: A Disabilities Studies Academic Community,Martha Nell Smith
DISC: A Disabilities Studies Academic Community,Tammy Gravenhorst Berberi
DISC: A Disabilities Studies Academic Community,Michael T. Coventry
DISC: A Disabilities Studies Academic Community,Brenda J. Brueggemann
DISC: A Disabilities Studies Academic Community,Jeffrey Ian Finlay
DISC: A Disabilities Studies Academic Community,Rosemarie Garland-Thomson
DISC: A Disabilities Studies Academic Community,Ann Fox
DISC: A Disabilities Studies Academic Community,Martha Stoddard Holmes
DISC: A Disabilities Studies Academic Community,Dan Newsome
DISC: A Disabilities Studies Academic Community,Jennifer Sutton
Emily Dickinson: Technology and Mythobiography,Carol Burbank
Feminism and Writing Technologies,Katie King
Hughes@100,David Driskell
Hughes@100,Gregory Lord
Hughes@100,Martha Nell Smith
Flare Productions,John Fuegi
Flare Productions,Jo Francis
"Mapping the Missions: The Jesuit-Guaraní Republic, 1754-2000",Daryle Williams
MONK: Humanities Text Mining in the Digital Library,Matthew Kirschenbaum
MONK: Humanities Text Mining in the Digital Library,Martha Nell Smith
MONK: Humanities Text Mining in the Digital Library,Gregory Lord
MONK: Humanities Text Mining in the Digital Library,Tanya Clement
MONK: Humanities Text Mining in the Digital Library,Catherine Plaisant-Schwenn
Multilingual Thesaurus for Medieval Studies,Patricia Cossard
Narratives That Heal,Carolina Robertson
Narratives That Heal,Susan Schreibman
Narratives That Heal,Jason Rhody
Narratives That Heal,Thomas Stanley
Narratives That Heal,George Williams
Narratives That Heal,Amit Kumar
Narratives That Heal,Yi Weng
"Occupied Japan 1945-1952: Gender, Class, Race",Marlene Mayo
RCCS: Resource Center for Cyberculture Studies,David Silver
RCCS: Resource Center for Cyberculture Studies,Randy Bass
RCCS: Resource Center for Cyberculture Studies,Brenda Danet
RCCS: Resource Center for Cyberculture Studies,David Gauntlett
RCCS: Resource Center for Cyberculture Studies,"Earl Jackson, Jr"
RCCS: Resource Center for Cyberculture Studies,Steve Jones
RCCS: Resource Center for Cyberculture Studies,Katie King
RCCS: Resource Center for Cyberculture Studies,Robert Kolker
RCCS: Resource Center for Cyberculture Studies,Shelley Pasnik
RCCS: Resource Center for Cyberculture Studies,Howard Rheingold
RCCS: Resource Center for Cyberculture Studies,Wendy Robinson
RCCS: Resource Center for Cyberculture Studies,Douglas Rushkoff
RCCS: Resource Center for Cyberculture Studies,Ben Shneiderman
RCCS: Resource Center for Cyberculture Studies,Mary Corbin Sies
RCCS: Resource Center for Cyberculture Studies,Fay Sudweeks
RCCS: Resource Center for Cyberculture Studies,Douglas Thomas
RCCS: Resource Center for Cyberculture Studies,Jeff Tycz
Rethinking the Americas: Teaching History Outreach Project on the Americas,Robin Muncy
The Sound of the Emperor's Voice: Japanese Creative Responses to the Allied Occupation,Gretchen Jones
Women's Studies Database,Martha Nell Smith
Saraka and Nation,Merle Collins
"Soweto `76, A Living Digital Archive",Angel David Nieves
"Soweto `76, A Living Digital Archive",Doug Reside
"Soweto `76, A Living Digital Archive",Gregory Lord
"Soweto `76, A Living Digital Archive",Bini Tecle
Black Gotham Archive,Carla Peterson
Black Gotham Archive,Kirsten Keister
Black Gotham Archive,Seth Denbo
Black Gotham Archive,Amanda Visconti
"Review, Revise, Requery",Lisa Marie Antonille Rhody
"Review, Revise, Requery",Amanda Visconti
"Review, Revise, Requery",Travis Brown
"Review, Revise, Requery",Kirsten Keister
Corpora Space,Neil Fraistat
Corpora Space,Doug Reside
Corpora Space,Travis Brown
Corpora Space,Seth Denbo
BrailleSC,Jennifer Guiliano
BrailleSC,Cory Bohon
BrailleSC,Amanda Visconti
BrailleSC,George Williams
BrailleSC,Kirsten Keister
BrailleSC,Tina Herzberg
BrailleSC,James Smith
ANGLES,Trevor Muñoz
ANGLES,James Smith
ANGLES,Jennifer Guiliano
ANGLES,Amanda Visconti
ANGLES,Kirsten Keister
ANGLES,Doug Reside
ANGLES,Hugh Cayless
Active OCR,Travis Brown
Active OCR,Paul Evans
Digital Humanities Data Curation,Dorothea Salo
Digital Humanities Data Curation,Alison Fenlon
Digital Humanities Data Curation,Carole Palmer
Digital Humanities Data Curation,Trevor Muñoz
Digital Humanities Data Curation,Kirsten Keister
Digital Humanities Data Curation,Megan Senseney
Digital Humanities Data Curation,Julia Flanders
"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",Jennifer Guiliano
"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",Trevor Muñoz
"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",Will Thomas
"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",Kaci Nash
"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",Kirsten Keister
Building an Accessible Future for the Humanities,Jennifer Guiliano
Building an Accessible Future for the Humanities,George Williams
Building an Accessible Future for the Humanities,Clay Jeffcoat
Building an Accessible Future for the Humanities,Jeremy Boggs
Building an Accessible Future for the Humanities,Cory Bohon
Building an Accessible Future for the Humanities,Tina Herzberg
Building an Accessible Future for the Humanities,James Smith
Building an Accessible Future for the Humanities,Marty R. McKenzie
Building an Accessible Future for the Humanities,Kirsten Keister
Walt Whitman's Annotations,Trevor Muñoz
Walt Whitman's Annotations,Raffaele Viglianti
Walt Whitman's Annotations,Travis Brown
Walt Whitman's Annotations,James Smith
Walt Whitman's Annotations,Matt Cohen
Walt Whitman's Annotations,Brett Barney
Walt Whitman's Annotations,Keith Nickum
Princeton Prosody,Travis Brown
Workset Creation for Scholarly Analysis Project,Trevor Muñoz
Workset Creation for Scholarly Analysis Project,Raffaele Viglianti
